(40804, 8, -64, -66, -69, -69, -66, -75, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(40815, 1, 127, -75, -72, -77, -78, -75, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41224, 1, 127, -75, -72, -78, -78, -76, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41227, 4, -79, -70, -67, 127, -73, -68, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41243, 2, -61, 127, -69, -70, -72, -88, -67, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(41262, 5, 127, 127, -79, -64, 127, 127, -78, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41263, 6, 127, 127, -71, -66, -66, 127, -63, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41264, 7, 127, 127, -86, -69, -76, -75, 127, -71, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41265, 8, 127, 127, -66, -75, -64, -69, -60, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41281, 6, -69, -85, -74, -66, -67, 127, -65, -69, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(41283, 8, -65, -67, -69, -69, -67, -75, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(41294, 1, 127, -75, -72, -78, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41297, 4, -78, -72, -67, 127, -73, -67, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41313, 2, -61, 127, -69, -70, -72, -88, -67, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(41333, 5, 127, -71, 127, -64, 127, -68, -77, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41334, 6, 127, -76, 127, -66, -66, 127, -63, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(41365, 1, 127, -75, -72, -77, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(41368, 4, -78, -72, -67, 127, -73, -68, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
